built_type,year_built,flour,area,condition,bathrooms,balcony,exchange,furniture,security,ceil,parking,residance,phone,floor,door,balcony_glass,ex_dormetory,inernet,id,userType,rooms,lat,lon,district,street,house_num,price
монолитный,2018,10 из 12,37,хорошее,совмещенный,балкон,,полностью,домофон,,,,,ламинат,металлическая,да,нет,,681740969,specialist,1,51.181672,71.439358,,Ykylas_Dukenuly,,16000000
кирпичный,2019,5 из 8,38,хорошее,совмещенный,балкон,Не интересует,,"решетки на окнах, охрана, домофон, видеонаблюдение",2.7 м,паркинг,Арнау,,ламинат,металлическая,да,нет,,677568874,owner,1,51.095517,71.449512,Esilyskiy_r-n,38_ulitsa,15,22500000
монолитный,2013,9 из 16,54,хорошее,совмещенный,балкон,Не интересует,,домофон,2 м,паркинг,Коркем,есть возможность подключения,ламинат,металлическая,да,нет,оптика,681866082,owner,2,51.116124191756,71.433223787826,Esilyskiy_r-n,Mangilik_El,17,31000000
монолитный,2022,6 из 12,86,свободная планировка,2 с/у и более,лоджия,Не интересует,,"домофон, видеонаблюдение",3 м,паркинг,Khan Plaza,,,,,нет,,681613165,specialist,3,51.069464314497,71.419588487611,Esilyskiy_r-n,E-496,uchastok_2A,35000000
монолитный,2022,5 из 9,38,,,,,,,3 м,,Inju Arena 2,,,,,нет,,680961052,owner,1,51.111551,71.408061,Esilyskiy_r-n,prospekt_Kabanbay_Batyra,,19700000
монолитный,2018,6 из 7,53,хорошее,совмещенный,,,полностью,"домофон, видеонаблюдение, консьерж",3.3 м,,Итальянский квартал,,ламинат,металлическая,,нет,ADSL,673646665,specialist,2,51.117811658527,71.457273810438,Almaty_r-n,Shamshi_Kaldayakova,4,46000000
кирпичный,2006,14 из 16,67,хорошее,,балкон и лоджия,,полностью,"решетки на окнах, домофон",,,Мирас,отдельный,ламинат,металлическая,да,нет,ADSL,681669213,specialist,3,51.152591,71.485595,Almaty_r-n,Kuyshi_Dina,31,25000000
кирпичный,2015,1 из 5,57,,,,,,,,,,,,,,нет,,681910989,specialist,2,51.170106392856,71.37183741468,Saryarka_r-n,189,,21800000
монолитный,2006,17 из 17,58,хорошее,раздельный,,Не интересует,,,2.7 м,паркинг,Светлый,,ламинат,,да,нет,,681694758,owner,2,51.13609473016,71.428983494989,Esilyskiy_r-n,Sarayshyk,7/1,27000000
кирпичный,2009,12 из 12,68.5,хорошее,совмещенный,,,полностью,"домофон, видеонаблюдение",2.7 м,паркинг,Сайран,,ламинат,металлическая,да,нет,,671869392,specialist,2,51.170102,71.402644,Saryarka_r-n,Kubrina,,26300000
монолитный,2008,12 из 16,48,хорошее,совмещенный,балкон,Не интересует,,,2.7 м,паркинг,Столичный,,паркет,бронированная,да,нет,,678098076,owner,1,51.165379120619,71.405603270978,Saryarka_r-n,Abaya,,26000000
иное,2018,2 из 18,52.1,хорошее,совмещенный,лоджия,,полностью,,,,Sauran Towers,,ламинат,металлическая,да,нет,,681903903,specialist,2,51.119128,71.420386,Esilyskiy_r-n,Sauran,10B,35000000
монолитный,2017,7 из 7,95,хорошее,,,,,,3 м,,Триумфальная Арка,,ламинат,,,нет,,681657753,specialist,3,51.10524,71.429252,Esilyskiy_r-n,Mangilik,35,61000000
монолитный,2008,7 из 113,115,,,,,,,3 м,паркинг,Сана,,,,,нет,,681903898,specialist,3,51.159370186012,71.405506721931,Almaty_r-n,Tarasa_Shevchenko,8,53000000
монолитный,2020,4 из 7,75,хорошее,2 с/у и более,лоджия,,полностью,"охрана, домофон, видеонаблюдение, консьерж",3 м,паркинг,Triumph Avenue,,пробковый,металлическая,да,нет,проводной,679848034,owner,3,51.104839,71.43148,Esilyskiy_r-n,Mangilik_El,38,57600000
монолитный,2022,,81.06,,,,,,,3.3 м,,Grand Turan,,,,,нет,,681732444,specialist,2,51.126525164578,71.40193400629,,prospekt_Turan,,37741536
монолитный,2011,13 из 13,60,,,,,,,2.7 м,,Отандастар,,,,,нет,,681801432,specialist,2,51.116069219309,71.431169917705,Esilyskiy_r-n,Almaty,,24000000
кирпичный,2011,6 из 9,59.11,хорошее,раздельный,балкон,Не интересует,,"домофон, видеонаблюдение",3 м,рядом охраняемая стоянка,Жастар-3,есть возможность подключения,ламинат,бронированная,да,нет,оптика,681410915,owner,2,51.161585505358,71.455400325358,r-n_Baykonur,Brusilovskogo,5,29000000
монолитный,2022,5 из 9,45,,совмещенный,лоджия,Не интересует,,,3 м,паркинг,Bravo Family,нет,ламинат,металлическая,да,нет,проводной,678846502,owner,2,51.115647151636,71.485969345797,,Nazhimedenova,,28000000
монолитный,2017,2 из 6,88,хорошее,2 с/у и более,балкон,Не интересует,,,3 м,паркинг,Expo Boulevard,,ламинат,,да,нет,,680927502,specialist,3,51.093962,71.412948,Esilyskiy_r-n,Sauran,42/1,59000000
монолитный,2022,9 из 14,43.65,черновая отделка,,,Не интересует,,,2.7 м,паркинг,Burabay,,,,,нет,,675776942,owner,1,51.109154,71.5332,Almaty_r-n,Zh__Nazhimedenova,,17500000
